original_title,runtime,tagline,vote_average
Battlefield Earth,118,Take Back The Planet,3
Looney Tunes: Back in Action,90,Real life has never been so animated.,5.6
Nine,112,This Holiday Season  Be Italian,5.1
Timeline,116,They had to travel into the past to save the future,5.4
The Postman,177,The year is 2013. One man walked in off the horizon and hope came with him.,6.1
Babe: Pig in the City,92,This little pig went to the city...,5.2
The Last Witch Hunter,106,Hunt forever.,5.7
Red Planet,106,Not A Sound. Not A Warning. Not A Chance. Not Alone.,5.4
Arthur et les Minimoys,94,Adventure awaits in your own backyard.,6
Oceans,84,Explore the depths of our planet's oceans.  Experience the stories that connect their world to ours.,7.3
A Sound of Thunder,110,Some Rules Should Never Be Broken.,4.8
Pompeii,105,No warning. No escape.,5.2
Don Gato: El inicio de la pandilla,89,xyz,5.3
A Beautiful Mind,135,I need to believe that something extra ordinary is possible...,7.7
The Lion King,89,Life's greatest adventure is finding your place in the Circle of Life.,8
Journey 2: The Mysterious Island,94,Believe the Impossible. Discover the Incredible.,5.8
Cloudy with a Chance of Meatballs 2,95,Something big was leftover.,6.4
Red Dragon,124,Before the Silence.,6.7
Hidalgo,136,Unbridled. Unbroken. Unbeaten.,6.5
Jack and Jill,91,His twin sister is coming for the holidays... ...and it ain't pretty.,4.1
2 Fast 2 Furious,107,How Fast Do You Want It?,6.2
The Little Prince,92,Growing up isn't the problem... forgetting is.,7.6
The Invasion,99,Do not trust anyone. Do not show emotion. Do not fall asleep.,5.7
The Adventures of Rocky & Bullwinkle,88,This summer it's not the same old bull.,3.9
The Secret Life of Pets,87,Think this is what they do all day?,5.9
The League of Extraordinary Gentlemen,110,The power of seven become a league of one.,5.7
Despicable Me 2,98,Back 2 Work,7
Independence Day,145,Earth. Take a good look. It might be your last.,6.7
The Lost World: Jurassic Park,129,Something has survived.,6.2
Madagascar,86,Someone's got a zoo loose.,6.6
Children of Men,109,The future's a thing of the past.,7.4
X-Men,104,Evolution Begins,6.8
Wanted,110,Choose your destiny.,6.4
The Rock,136,Alcatraz.  Only one man has ever broken out.  Now five million lives depend on two men breaking in.,6.9
Ice Age: The Meltdown,91,The Ice age is melting away.,6.5
50 First Dates,99,Imagine having to win over the girl of your dreams... every friggin' day.,6.6
Hairspray,117,When you follow your own beat  the world will follow you.,6.5
Exorcist: The Beginning,114,Go back to where the horror began.,4.7
Inspector Gadget,78,The greatest hero ever assembled.,4.3
Now You See Me,115,4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.,7.3
Grown Ups,102,Boys will be boys. . . some longer than others.,6
The Terminal,128,Life is waiting.,7
Hotel for Dogs,100,No stray gets turned away.,5.7
Vertical Limit,124,The Mountain Will Decide.,5.9
Charlie Wilson's War,102,Based on a true story. You think we could make all this up?,6.5
Shark Tale,90,The story of what happens when one little fish tells a great white lie...,5.8
Dreamgirls,134,One Dream Will Change Everything,6.6
Be Cool,118,Everyone is looking for the next big hit,5.4
Munich,164,The world was watching in 1972 as 11 Israeli athletes were murdered at the Munich Olympics. This is the story of what happened next.,6.9
Tears of the Sun,121,He was trained to follow orders. He became a hero by defying them.,6.4
Killers,100,Perfect wife. Perfect target.,5.7
The Man from U.N.C.L.E.,116,Saving the world never goes out of style.,7.1
Spanglish,130,Every family has a hero.,5.8
Monster House,91,The House is . . . ALIVE!,6.3
Bandits,123,Two's company  three's a crime.,6.2
First Knight,134,Their greatest battle would be for her love.,5.9
Anna and the King,148,xyz,6.4
Immortals,110,The Gods need a hero.,5.7
Hostage,113,Every Second Counts,6.2
Titan A.E.,94,When Earth Ends  The Adventure Begins.,6.3
Hollywood Homicide,116,xyz,5
Soldier,99,Left for dead on a remote planet for obsolete machines and people  a fallen hero has one last battle to fight,6.1
Carriers,84,The rules are simple. You break them  you die...,5.8
Monkeybone,93,If It Yells  If It Swings  It's Got To Be Monkeybone!,4.3
Flight of the Phoenix,113,Out of the ashes  hope will rise.,5.7
Unbreakable,106,Some things are only revealed by accident.,6.9
Minions,91,Before Gru  they had a history of bad bosses,6.4
Sucker Punch,110,You will be unprepared,5.9
Snake Eyes,98,Believe everything except your eyes.,5.8
Sphere,134,A thousand feet beneath the sea  the blackest holes are in the mind...,5.8
The Angry Birds Movie,97,Why so angry?,5.9
Fool's Gold,112,This February True Love Takes a Dive.,5.4
Funny People,146,George Simmons was prepared to die  but then a funny thing happened.,5.7
The Kingdom,110,How do you stop an enemy who isn't afraid to die?,6.5
Talladega Nights: The Ballad of Ricky Bobby,116,The story of a man who could only count to #1,6.2
Dr. Dolittle 2,87,The doctor is in again.,4.9
Braveheart,177,Every man dies. Not every man truly lives.,7.7
Jarhead,125,Welcome to the suck.,6.6
The Simpsons Movie,87,See our family. And feel better about yours.,6.9
The Majestic,152,Sometimes your life comes into focus one frame at a time.,6.6
Driven,116,Get ready for the race of your life.,4.5
Deux frères,109,Two infant tiger cubs  separated from their parents and each other.,6.9
The Village,108,There is no turning back,6.2
Doctor Dolittle,85,He doesn't just talk to the animals!,5.4
Signs,106,It’s not like they didn’t warn us.,6.4
Shrek 2,93,Once upon another time...,6.7
Cars,117,Ahhh... it's got that new movie smell.,6.6
Runaway Bride,116,Catch her if you can.,5.7
xXx,124,A New Breed Of Secret Agent.,5.8
The SpongeBob Movie: Sponge Out of Water,93,He's leaving his world behind.,5.8
Ransom,117,Someone is going to pay.,6.4
Inglourious Basterds,153,Once upon a time in Nazi occupied France...,7.9
Hook,144,What if Peter Pan grew up?,6.6
Die Hard 2,124,Die Harder,6.6
S.W.A.T.,117,You're either S.W.A.T. or you're not.,5.8
Vanilla Sky,136,Forget everything you know  and open your eyes.,6.5
Lady in the Water,110,Time is running out for a happy ending.,5.3
AVP: Alien vs. Predator,101,Whoever wins... We lose,5.5
Alvin and the Chipmunks: The Squeakquel,88,The Boys are back in town... and they have competition.,5.4
We Were Soldiers,138,400 U.S paratroopers. 4000 Vietnamese soldiers. 12 000 miles away from home. 1 man led them into battle.,6.7
Olympus Has Fallen,120,When our flag falls our nation will rise.,6.2
Star Trek: Insurrection,103,The battle for paradise has begun.,6.3
Battle: Los Angeles,116,It's not war. It's survival.,5.5
Big Fish,125,An adventure as big as life itself.,7.6
Wolf,125,The animal is out.,6
War Horse,146,Separated by War. Tested by Battle. Bound by Friendship.,7
The Monuments Men,118,It was the greatest art heist in history,5.8
The Abyss,139,There's everything you've ever known about adventure  and then there's The Abyss.,7.1
Wall Street: Money Never Sleeps,133,Gordon never gives up.,5.8
Dracula Untold,92,Every bloodline has a beginning,6.2
The Siege,116,On November 6th our freedom is history,6
Stardust,127,This Summer A Star Falls. The Chase Begins.,7.1
Seven Years in Tibet,136,At the end of the world his real journey began.,7
The Dilemma,111,Two best friends. Nothing could come between them... or could it?,5.2
Bad Company,116,Two Mismatched Partners. One Messed Up Case!,5.4
Doom,105,No one gets out alive.,5
I Spy,97,Attitude meets espionage.,5.2
Underworld: Awakening,88,Vengeance Returns,6.1
Rock of Ages,123,Nothin' but a good time,6
Hart's War,125,Beyond Courage  Beyond Honor.,5.9
Killer Elite,116,May the best man live.,6.1
Rollerball,98,Go Ballistic,3.4
Ballistic: Ecks vs. Sever,91,xyz,4.3
Hard Rain,97,In the worst storm in living memory  one guard stands between five men and three million dollars.,5.5
Osmosis Jones,95,Every BODY needs a hero,5.9
Legends of Oz: Dorothy's Return,88,There's trouble in OZ...,5.9
Blackhat,133,We are no longer in control.,5.1
Sky Captain and the World of Tomorrow,107,Who will save us?,5.7
Basic Instinct 2,114,Everything interesting begins in the mind,4.6
Escape Plan,115,No one breaks out alone.,6.7
The Legend of Hercules,99,Every Man Has a Destiny,4.4
The Sum of All Fears,124,27 000 nuclear weapons. One is missing.,5.9
The Twilight Saga: Eclipse,124,It all begins ... With a choice.,5.8
The Score,124,There are no partners in crime,6.7
Despicable Me,95,Superbad. Superdad.,7.1
Money Train,103,Get on  or GET OUT THE WAY!,5.4
Ted 2,115,Ted is Coming  Again.,6.2
Agora,127,Alexandria  Egypt. 391 A.D. The World Changed Forever.,6.9
Mystery Men,121,We're not your classic heroes  we're the other guys.,5.7
Hall Pass,105,One Week  No Rules,5.4
The Insider,157,Two men driven to tell the truth... whatever the cost.,7.3
The Finest Hours,114,32 survivors  room for 12.,6.3
Body of Lies,128,Trust no one. Deceive everyone.,6.5
Dinner for Schmucks,114,Takes One To Know One.,5.5
Abraham Lincoln: Vampire Hunter,94,Are you a patriot or a vampire?,5.5
Entrapment,112,The trap is set.,6
The X Files,121,Fight the Future,6.6
The Last Legion,102,The end of an empire...the beginning of a legend.,5
Saving Private Ryan,169,The mission is a man.,7.9
Need for Speed,130,For honor. For love. For redemption.,6.1
What Women Want,127,He has the power to hear everything women are thinking. Finally... a man is listening.,6.1
Ice Age,81,They came. They thawed. They conquered.,7.1
Dreamcatcher,136,A circle of friendship. A web of mystery. A pattern of fear.,5.3
Lincoln,149,With the moral courage and fierce determination to succeed  his choices will change the fate of generations to come.,6.7
The Matrix,136,Welcome to the Real World.,7.9
Apollo 13,140,Houston  we have a problem.,7.3
The Santa Clause 2,104,What's Christmas Fun without some Reindeer Games?,5.5
Les Misérables,157,Fight. Dream. Hope. Love.,7.1
You've Got Mail,119,Someone you pass on the street may already be the love of your life.,6.3
Step Brothers,98,They grow up so fast.,6.5
The Mask of Zorro,136,No one has seen his face... but everyone ... knows this mark.,6.3
Due Date,95,Leave Your Comfort Zone,6.2
Unbroken,137,Survival. Resilience. Redemption.,7.3
Space Cowboys,130,Space will never be the same.,6.3
Cliffhanger,112,The height of adventure.,6.1
Broken Arrow,108,Prepare to Go Ballistic.,5.7
The Kid,104,Nobody ever grows up quite like they imagined.,6
World Trade Center,128,The world saw evil that day. Two men saw something else.,5.9
Mona Lisa Smile,117,In a world that told them how to think  she showed them how to live.,6.5
The Dictator,83,kurd,5.9
Eyes Wide Shut,159,Cruise. Kidman. Kubrick.,7.1
Annie,119,It's a Hard Knock Life,6
Focus,105,Never Drop The Con.,6.7
This Means War,103,It's SPY Against SPY,5.9
Blade: Trinity,123,The final hunt begins.,5.7
Red Dawn,114,xyz,6.4
Primary Colors,143,What went down on the way to the top.,6.1
Resident Evil: Retribution,95,The Ultimate Battle Begins,5.6
Death Race,105,Get ready for a killer race.,6
The Long Kiss Goodnight,120,What's forgotten is not always gone.,6.5
Proof of Life,135,xyz,6
Zathura: A Space Adventure,101,Adventure Is Waiting,6.1
Fight Club,139,Mischief. Mayhem. Soap.,8.3
We Are Marshall,124,From the ashes we rose.,6.7
Hudson Hawk,100,Danger is his middle name.,5.4
Lucky Numbers,105,When they put their heads together... it's a no brainer.,4.9
I  Frankenstein,92,In the battle between good and evil  an immortal holds the key,5
Oliver Twist,130,xyz,6.7
Elektra,97,Looks can kill,4.8
Sin City: A Dame to Kill For,102,There is no justice without sin.,6.3
Random Hearts,133,In a perfect world...they never would have met.,5.3
Everest,121,The Storm Awaits.,6.7
Perfume: The Story of a Murderer,147,Based on the best-selling novel,7.1
Austin Powers in Goldmember,94,He's still evil... He's still deadly... and he's still surrounded by frickin' idiots!,5.9
Astro Boy,94,Have a blast.,6.1
Jurassic Park,127,An adventure 65 million years in the making.,7.6
Wyatt Earp,191,The epic story of love and adventure in a lawless land.,6.5
Clear and Present Danger,141,The war of drugs would lead him to the war of power.,6.4
天將雄師,127,When the Eagle meets the Dragon,5.9
Little Man,98,Big things come in small packages,5.3
U-571,116,Heroes are ordinary men who do extraordinary things in extraordinary times.,6.1
The American President,106,Why can't the most powerful man in the world have the one thing he wants most?,6.5
The Love Guru,87,His Karma is Huge,4.3
3000 Miles to Graceland,125,Crime Is King.,5.8
The Hateful Eight,167,No one comes up here without a damn good reason.,7.6
Blades of Glory,93,Kick Some Ice.,5.9
Hop,95,Candy  chicks and rock 'n' roll.,5.5
300,117,Spartans  prepare for glory!,7
Meet the Fockers,115,Misery loves family.,6.1
Marley & Me,115,Heel the love.,6.9
The Green Mile,189,Miracles do happen.,8.2
Wild Hogs,100,A lot can happen on the road to nowhere.,5.6
Chicken Little,81,When it comes to saving the world  it helps to be a little chicken.,5.6
Gone Girl,145,You don't know what you've got 'til it's...,7.9
The Bourne Identity,119,He was the perfect weapon until he became the target.,7.3
GoldenEye,130,No limits. No fears. No substitutes.,6.6
The General's Daughter,116,Go behind the lies.,6.1
The Truman Show,103,On the air. Unaware.,7.8
The Prince of Egypt,99,The Power Is Real.,6.8
Daddy Day Care,92,Who's your daddy?,5.6
2 Guns,109,2 Guns  1 Bank.,6.6
Cats & Dogs,87,Things Are Gonna Get Hairy!,5
The Italian Job,110,Get in. Get out. Get even.,6.6
Two Weeks Notice,101,Over. Done. Finished. A comedy about love at last glance.,5.9
Antz,83,Every ant has his day.,6
Couples Retreat,113,It may be paradise... but it's no vacation.,5.3
Days of Thunder,107,You can't stop the thunder.,5.9
Cheaper by the Dozen 2,94,Same Big Family... Even Bigger Adventure.,5.7
Maze Runner: The Scorch Trials,132,The Maze Was Just the Beginning.,6.4
Eat Pray Love,133,Let Yourself GO,5.8
The Family Man,125,What if you made different choices? What if you said yes  instead of no? What if you got a second chance?,6.5
RED,111,Still armed. Still dangerous. Still got it.,6.6
Any Given Sunday,163,Play or be Played.,6.8
The Horse Whisperer,170,xyz,6.7
Collateral,120,It started like any other night.,7
The Scorpion King,92,Warrior. Legend. King.,5.3
Ladder 49,115,Their greatest challenge lies in rescuing one of their own,6.2
Jack Reacher,130,The Law Has Limits. He Does Not.,6.3
Deep Blue Sea,105,Bigger. Smarter. Faster. Meaner.,5.6
Michael Jackson's This Is It,111,Like You've Never Seen Him Before,6.7
Contagion,106,Nothing spreads like fear,6.2
Kangaroo Jack,89,He stole the money... And he's not giving it back.,4.3
Coraline,100,Be careful what you wish for.,7.3
The Happening,91,We've Sensed It. We've Seen The Signs. Now... It's Happening.,4.9
Man on Fire,146,Creasy's art is death  and he is about to paint his masterpiece.,7.3
The Shaggy Dog,98,It's going to be a ruff day.,4.5
Starsky & Hutch,101,They're the man.,5.6
Jingle All the Way,89,Two Dads  One Toy  No Prisoners.,5.5
Hellboy,122,From the Dark Side to Our Side.,6.5
A Civil Action,115,Justice has its price.,6.1
ParaNorman,90,It's all fun and games until someone raises the dead.,6.7
The Jackal,124,How do you stop an assassin who has no identity?,6.1
Paycheck,119,Remember the future.,5.9
Up Close & Personal,119,Every Day we Have  is One More Than We Deserve.,5.9
